Date,Ret1,Ret2,Ret3,Ret4
2003-07-07,9040.950195,9142.839844,9070.209961,9216.790039
2003-07-08,9142.839844,9070.209961,9216.790039,9223.089844
2003-07-09,9070.209961,9216.790039,9223.089844,9156.209961
2003-07-10,9216.790039,9223.089844,9156.209961,9036.040039
2003-07-11,9223.089844,9156.209961,9036.040039,9119.589844
2003-07-14,9156.209961,9036.040039,9119.589844,9177.150391
2003-07-15,9036.040039,9119.589844,9177.150391,9128.969727
2003-07-16,9119.589844,9177.150391,9128.969727,9094.589844
2003-07-17,9177.150391,9128.969727,9094.589844,9050.820313
2003-07-18,9128.969727,9094.589844,9050.820313,9188.150391
2003-07-21,9094.589844,9050.820313,9188.150391,9096.69043
2003-07-22,9050.820313,9188.150391,9096.69043,9158.450195
2003-07-23,9188.150391,9096.69043,9158.450195,9194.240234
2003-07-24,9096.69043,9158.450195,9194.240234,9112.509766
2003-07-25,9158.450195,9194.240234,9112.509766,9284.570313
2003-07-28,9194.240234,9112.509766,9284.570313,9266.509766
2003-07-29,9112.509766,9284.570313,9266.509766,9204.459961
2003-07-30,9284.570313,9266.509766,9204.459961,9200.049805
2003-07-31,9266.509766,9204.459961,9200.049805,9233.799805
2003-08-01,9204.459961,9200.049805,9233.799805,9153.969727
2003-08-04,9200.049805,9233.799805,9153.969727,9186.040039
2003-08-05,9233.799805,9153.969727,9186.040039,9036.320313
2003-08-06,9153.969727,9186.040039,9036.320313,9061.740234
2003-08-07,9186.040039,9036.320313,9061.740234,9126.450195
2003-08-08,9036.320313,9061.740234,9126.450195,9191.089844
2003-08-11,9061.740234,9126.450195,9191.089844,9217.349609
2003-08-12,9126.450195,9191.089844,9217.349609,9310.05957
2003-08-13,9191.089844,9217.349609,9310.05957,9271.759766
2003-08-14,9217.349609,9310.05957,9271.759766,9310.55957
2003-08-15,9310.05957,9271.759766,9310.55957,9321.69043
2003-08-18,9271.759766,9310.55957,9321.69043,9412.450195
2003-08-19,9310.55957,9321.69043,9412.450195,9428.900391
2003-08-20,9321.69043,9412.450195,9428.900391,9397.509766
2003-08-21,9412.450195,9428.900391,9397.509766,9423.679688
2003-08-22,9428.900391,9397.509766,9423.679688,9348.870117
2003-08-25,9397.509766,9423.679688,9348.870117,9317.639648
2003-08-26,9423.679688,9348.870117,9317.639648,9340.450195
2003-08-27,9348.870117,9317.639648,9340.450195,9333.790039
2003-08-28,9317.639648,9340.450195,9333.790039,9374.209961
2003-08-29,9340.450195,9333.790039,9374.209961,9415.820313
2003-09-02,9333.790039,9374.209961,9415.820313,9523.269531
2003-09-03,9374.209961,9415.820313,9523.269531,9568.459961
2003-09-04,9415.820313,9523.269531,9568.459961,9587.900391
2003-09-05,9523.269531,9568.459961,9587.900391,9503.339844
2003-09-08,9568.459961,9587.900391,9503.339844,9586.290039
2003-09-09,9587.900391,9503.339844,9586.290039,9507.200195
2003-09-10,9503.339844,9586.290039,9507.200195,9420.459961
2003-09-11,9586.290039,9507.200195,9420.459961,9459.759766
2003-09-12,9507.200195,9420.459961,9459.759766,9471.549805
2003-09-15,9420.459961,9459.759766,9471.549805,9448.80957
2003-09-16,9459.759766,9471.549805,9448.80957,9567.339844
2003-09-17,9471.549805,9448.80957,9567.339844,9545.650391
2003-09-18,9448.80957,9567.339844,9545.650391,9659.129883
2003-09-19,9567.339844,9545.650391,9659.129883,9644.820313
2003-09-22,9545.650391,9659.129883,9644.820313,9535.410156
2003-09-23,9659.129883,9644.820313,9535.410156,9576.040039
2003-09-24,9644.820313,9535.410156,9576.040039,9425.509766
2003-09-25,9535.410156,9576.040039,9425.509766,9343.959961
2003-09-26,9576.040039,9425.509766,9343.959961,9313.080078
2003-09-29,9425.509766,9343.959961,9313.080078,9380.240234
2003-09-30,9343.959961,9313.080078,9380.240234,9275.05957
2003-10-01,9313.080078,9380.240234,9275.05957,9469.200195
2003-10-02,9380.240234,9275.05957,9469.200195,9487.799805
2003-10-03,9275.05957,9469.200195,9487.799805,9572.30957
2003-10-06,9469.200195,9487.799805,9572.30957,9594.980469
2003-10-07,9487.799805,9572.30957,9594.980469,9654.610352
2003-10-08,9572.30957,9594.980469,9654.610352,9630.900391
2003-10-09,9594.980469,9654.610352,9630.900391,9680.009766
2003-10-10,9654.610352,9630.900391,9680.009766,9674.679688
2003-10-13,9630.900391,9680.009766,9674.679688,9764.379883
2003-10-14,9680.009766,9674.679688,9764.379883,9812.980469
2003-10-15,9674.679688,9764.379883,9812.980469,9803.049805
2003-10-16,9764.379883,9812.980469,9803.049805,9791.719727
2003-10-17,9812.980469,9803.049805,9791.719727,9721.790039
2003-10-20,9803.049805,9791.719727,9721.790039,9777.94043
2003-10-21,9791.719727,9721.790039,9777.94043,9747.639648
2003-10-22,9721.790039,9777.94043,9747.639648,9598.240234
2003-10-23,9777.94043,9747.639648,9598.240234,9613.129883
2003-10-24,9747.639648,9598.240234,9613.129883,9582.459961
2003-10-27,9598.240234,9613.129883,9582.459961,9608.160156
2003-10-28,9613.129883,9582.459961,9608.160156,9748.30957
2003-10-29,9582.459961,9608.160156,9748.30957,9774.530273
2003-10-30,9608.160156,9748.30957,9774.530273,9786.610352
2003-10-31,9748.30957,9774.530273,9786.610352,9801.120117
2003-11-03,9774.530273,9786.610352,9801.120117,9858.459961
2003-11-04,9786.610352,9801.120117,9858.459961,9838.830078
2003-11-05,9801.120117,9858.459961,9838.830078,9820.830078
2003-11-06,9858.459961,9838.830078,9820.830078,9856.969727
2003-11-07,9838.830078,9820.830078,9856.969727,9809.790039
2003-11-10,9820.830078,9856.969727,9809.790039,9756.530273
2003-11-11,9856.969727,9809.790039,9756.530273,9737.790039
2003-11-12,9809.790039,9756.530273,9737.790039,9848.830078
2003-11-13,9756.530273,9737.790039,9848.830078,9837.94043
2003-11-14,9737.790039,9848.830078,9837.94043,9768.679688
2003-11-17,9848.830078,9837.94043,9768.679688,9710.830078
2003-11-18,9837.94043,9768.679688,9710.830078,9624.160156
2003-11-19,9768.679688,9710.830078,9624.160156,9690.459961
2003-11-20,9710.830078,9624.160156,9690.459961,9619.419922
2003-11-21,9624.160156,9690.459961,9619.419922,9628.530273
2003-11-24,9690.459961,9619.419922,9628.530273,9747.790039
2003-11-25,9619.419922,9628.530273,9747.790039,9763.94043
2003-11-26,9628.530273,9747.790039,9763.94043,9779.570313
2003-11-28,9747.790039,9763.94043,9779.570313,9782.459961
2003-12-01,9763.94043,9779.570313,9782.459961,9899.049805
2003-12-02,9779.570313,9782.459961,9899.049805,9853.639648
2003-12-03,9782.459961,9899.049805,9853.639648,9873.419922
2003-12-04,9899.049805,9853.639648,9873.419922,9930.820313
2003-12-05,9853.639648,9873.419922,9930.820313,9862.679688
2003-12-08,9873.419922,9930.820313,9862.679688,9965.269531
2003-12-09,9930.820313,9862.679688,9965.269531,9923.419922
2003-12-10,9862.679688,9965.269531,9923.419922,9921.860352
2003-12-11,9965.269531,9923.419922,9921.860352,10008.160156
2003-12-12,9923.419922,9921.860352,10008.160156,10042.160156
2003-12-15,9921.860352,10008.160156,10042.160156,10022.820313
2003-12-16,10008.160156,10042.160156,10022.820313,10129.55957
